Italian,English,German,Rank
sono,"I am, they are","Ich bin, sie sind",1
io,I,Ich,2
il suo,"his, her","sein, ihr",3
che,"that, who (relative pronoun)","dass, der, die, das",4
lui,"he, him","er, ihm",5
era,he/she was,war,6
per,for,für,7
su,"on, up","auf, über",8
come,"as / like, how, like","wie, als",9
con,with,mit,10
loro,"they, them","sie, ihnen",11
essere,to be,sein,12
a,at / to,nach,13
uno,one,ein,14
avere,to have,haben,15
questo,this,dieses,16
da,"from, by, to","von, aus, zu, seit",17
di,"by, of, than","von, der, für, , als",18
caldo,"hot, warm","warm, heiß",19
parola,word,Wort,20
ma,but,aber,21
cosa,thing,"was, etwas, ding",22
alcuni,"some, several",einige,23
è,is,ist,24
quello,that,jener,25
voi,you (pl.),ihr,26
o,or,oder,27
aveva,had,hatte,28
il,the,der,29
e,and,und,30
un,a,ein,31
in,in,in,32
noi,"we, us",wir,33
fuori,out,"außerhalb, draußen",34
altro,"other, else","anderer, anderes, weitere, anders",35
erano,were,waren,36
che / quale,which,welche,37
fare,to do/make,"machen, tun",38
tempo,"time, weather","Zeit, Wetter",39
se,if,"falls, wenn",40
volontà,"will, desire","Wille, Bereitschaft",41
detto,said,gesagt,42
ogni,"each, every","jeder, alle",43
dire,"tell, say, mean","sagen, meinen",44
fa,"does, ago","tut, macht, her",45
fisso,set (unchanging),fest,46
tre,three,drei,47
desiderare,desire,wünschen,48
aria,air,Luft,49
bene,well,gut,50
anche,even / also,auch,51
giocare,play,spielen,52
piccolo,small,klein,53
fine,"end, fine","Ende, fein, dünn",54
mettere,put,"stellen, legen",55
casa,"home, house",Haus,56
leggere,read,lesen,57
mano,hand,Hand,58
portare,"carry, bring, lead","tragen, bringen, führen",59
grande,"large / big, great, grand","groß, großartig, toll",60
compitare,spell (words),buchstabieren,61
aggiungere,add,hinzufügen,62
alto,high / tall,"hoch, groß",63
terra,"land, ground","Erde, Land, Boden",64
qui,here,hier,65
devo,i must,ich muss,66
tale,such,diese / solche,67
seguire,follow,folgen,68
atto,an act,Akt,69
perché,why,"warum, weil",70
chiedere,ask,fragen,71
maschi,males,Männchen,72
cambiamento,a change,Veränderung,73
è andato,went,"ist gegangen, ging",74
luce,light,Licht,75
tipo,kind (of thing),"Typ, Art",76
spento,turned off,ausgeschaltet,77
bisogno,need,brauchen,78
immagine,image,Bild,79
provare,try,"versuchen, probieren",80
di nuovo,again,"erneut, nochmal",81
animale,animal,Tier,82
punto,point,Punkt,83
madre,mother,Mutter,84
vicino,"near, close","nahe, in der nähe",85
costruire,build,bauen,86
se stesso,himself,sich selbst,87
padre,father,Vater,88
qualsiasi,any,"jede, jegliche",89
nuovo,new,neu,90
lavoro,"work, job","Arbeit, Job, Beruf",91
parte,part,Teil,92
prendere,"take, catch","nehmen, holen, fangen",93
ottenere,get,"erhalten, bekommen",94
posto,place,"Platz, Ort",95
fatto,"made, done",gemacht,96
vivere,live,leben,97
dove,where,wo,98
dopo,after,nach,99
indietro,back,zurück,100
poco,little,ein kleines bisschen,101
solo,"only, just","nur, allein, ",102
